Cooltime,Sound_m4a,Sound_ogg,Sound_test,_key
1,SuperHero_FlightEnd.m4a,SuperHero_FlightEnd.ogg,SuperHero_FlightEnd.m4a,SuperHero_FlightEnd
1,SuperHero_FlightStart.m4a,SuperHero_FlightStart.ogg,SuperHero_FlightStart.m4a,SuperHero_FlightStart
0,ui_treasure_equip.m4a,ui_treasure_equip.ogg,ui_treasure_equip.m4a,Treasure_Equip
0,ch36skill.m4a,ch36skill.ogg,ch36skill.m4a,UnripeSkillActivation
0,ut_result_fail2.m4a,ut_result_fail2.ogg,ut_result_fail2.m4a,UpgradeTreasure_Fail
0,ut_loading.m4a,ut_loading.ogg,ut_loading.m4a,UpgradeTreasure_Loading
0,ut_loading_done.m4a,ut_loading_done.ogg,ut_loading_done.m4a,UpgradeTreasure_LoadingDone
0,ut_result_success.m4a,ut_result_success.ogg,ut_result_success.m4a,UpgradeTreasure_Success
0.1,VampireJumpAfterTransform.m4a,VampireJumpAfterTransform.ogg,VampireJumpAfterTransform.m4a,VampireJumpAfterTransform
0,VampireMakeJelly.m4a,VampireMakeJelly.ogg,VampireMakeJelly.m4a,VampireMakeJelly
5,VampireTransformEnd.m4a,VampireTransformEnd.ogg,VampireTransformEnd.m4a,VampireTransformEnd
5,VampireTransformStart.m4a,VampireTransformStart.ogg,VampireTransformStart.m4a,VampireTransformStart
